iter	Passed	Remaining
0	0	16
1	1	15
2	2	15
3	2	14
4	3	13
5	4	12
6	4	12
7	5	11
8	6	10
9	6	10
10	7	9
11	7	8
12	8	7
13	8	6
14	9	6
15	10	5
16	10	5
17	11	4
18	12	3
19	12	3
20	13	2
21	14	1
22	14	1
23	15	0
24	16	0
